date,closed pnl_count,closed pnl_sum,closed pnl_mean,closed pnl_median,closed pnl_std,win_mean,size tokens_mean,size tokens_median,classification,value,sentiment_numeric,date_dt
2023-01-05,3,0.0,0.0,0.0,0.0,0.0,0.08376666666666666,0.0824,Fear,29.0,29.0,2023-01-05
2023-05-12,9,0.0,0.0,0.0,0.0,0.0,1.3121122222222223,0.58211,Neutral,49.0,49.0,2023-05-12
2023-12-14,11,-205.43473700000007,-18.675885181818188,0.0,179.66353383090035,0.36363636363636365,372.0262736363636,87.59,Greed,72.0,72.0,2023-12-14
2023-12-15,2,-24.632033999999997,-12.316016999999999,-12.316016999999999,4.474304424985184,0.0,1779.0,1779.0,Greed,70.0,70.0,2023-12-15
2023-12-16,3,0.0,0.0,0.0,0.0,0.0,13299.0,12166.0,Greed,67.0,67.0,2023-12-16
2023-12-17,14,304.982785,21.78448464285714,0.02676,43.51261683426808,0.5,6160.460614285715,5812.45,Greed,73.0,73.0,2023-12-17
2023-12-18,2,0.0,0.0,0.0,0.0,0.0,7.153,7.153,Greed,65.0,65.0,2023-12-18
2023-12-19,15,1000.5386120000001,66.70257413333334,4.502567,183.73537011741135,0.6666666666666666,10769.753733333333,12824.0,Greed,73.0,73.0,2023-12-19
2023-12-20,18,162.732282,9.040682333333333,0.0,21.3481314287044,0.4444444444444444,9695.566666666668,1042.85,Greed,74.0,74.0,2023-12-20
2023-12-21,49,537.211402,10.963498000000001,0.032592,20.811624735703514,0.5306122448979592,27.84285714285714,23.68,Greed,70.0,70.0,2023-12-21
2023-12-22,10,141.832675,14.1832675,0.0,40.92671758278208,0.2,245.07491,0.32342,Greed,74.0,74.0,2023-12-22
2023-12-23,13,146.936704,11.302823384615383,10.836504,11.478402785910806,0.6153846153846154,10897.33846153846,13339.0,Greed,70.0,70.0,2023-12-23
2023-12-24,39,1008.619956,25.862050153846155,0.0,52.267012077476366,0.38461538461538464,7299.543489230769,1804.0,Greed,71.0,71.0,2023-12-24
2023-12-25,3,-245.081348,-81.69378266666666,0.0,141.49778224115633,0.0,8.793733333333334,12.7444,Greed,73.0,73.0,2023-12-25
2023-12-27,28,-704.8892269999999,-25.174615249999995,0.0,153.67464419092525,0.14285714285714285,16269.285714285714,15126.0,Greed,73.0,73.0,2023-12-27
2023-12-28,23,-970.730876,-42.20569026086957,-13.250952,55.01514381004261,0.0,11467.478260869566,11915.0,Greed,73.0,73.0,2023-12-28
